,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,Contract,TotalCharges,Churn
1186,Female,0,Yes,No,58,Yes,Yes,One year,3478.75,No
1187,Female,1,No,No,71,Yes,Yes,Two year,7413.55,No
1188,Female,0,No,No,35,Yes,No,One year,3532.0,No
1189,Male,0,No,No,3,Yes,No,Month-to-month,256.75,No
1190,Male,0,No,No,38,Yes,Yes,One year,3887.25,No
1191,Male,0,Yes,Yes,35,Yes,Yes,Two year,2490.15,No
1192,Male,0,No,No,7,Yes,Yes,Month-to-month,593.45,Yes
1193,Female,0,No,No,47,Yes,No,Two year,3510.3,No
1194,Female,0,No,No,14,Yes,No,Month-to-month,765.45,No
1195,Female,1,Yes,No,20,Yes,No,Month-to-month,1259.35,No
1196,Male,0,Yes,No,66,Yes,Yes,Two year,5538.35,No
1197,Male,0,Yes,No,15,Yes,No,Month-to-month,340.85,No
1198,Female,0,No,No,42,Yes,No,Two year,844.45,No
1199,Female,0,Yes,No,17,Yes,Yes,Month-to-month,1348.95,No
1200,Male,0,No,No,37,Yes,Yes,One year,3778.0,No
1201,Female,0,No,No,12,Yes,No,Month-to-month,611.65,No
1202,Male,0,Yes,No,53,Yes,No,One year,4867.95,Yes
1203,Female,0,No,No,60,Yes,Yes,Two year,1505.05,No
1204,Male,0,Yes,Yes,18,No,No phone service,Month-to-month,467.85,No
1205,Male,0,No,No,1,Yes,Yes,Month-to-month,74.9,Yes
1206,Female,0,No,No,3,Yes,No,Month-to-month,194.2,No
1207,Female,0,No,Yes,9,Yes,No,Month-to-month,571.45,No
1208,Female,0,No,No,1,Yes,No,Month-to-month,80.25,Yes
1209,Male,0,Yes,No,56,Yes,Yes,One year,5253.95,No
1210,Male,0,Yes,Yes,17,Yes,No,Month-to-month,1149.65,Yes
1211,Female,0,Yes,Yes,11,Yes,Yes,Month-to-month,740.8,Yes
1212,Male,0,No,No,7,Yes,No,Month-to-month,521.35,No
1213,Female,0,Yes,Yes,69,Yes,No,Two year,1412.65,No
1214,Male,0,No,No,19,Yes,Yes,Month-to-month,1532.45,Yes
1215,Female,0,Yes,Yes,3,Yes,No,Month-to-month,250.05,Yes
1216,Male,0,Yes,Yes,54,Yes,No,Two year,1090.6,No
1217,Male,0,Yes,No,62,Yes,Yes,One year,1446.8,No
1218,Male,0,No,No,24,Yes,Yes,Month-to-month,2282.55,Yes
1219,Female,0,Yes,Yes,62,Yes,Yes,Month-to-month,4300.45,No
1220,Male,0,No,No,17,Yes,Yes,Month-to-month,1111.2,No
1221,Male,0,No,No,9,No,No phone service,Month-to-month,190.1,No
1222,Male,0,Yes,Yes,64,Yes,No,Two year,4447.75,No
1223,Female,0,No,No,2,Yes,Yes,Month-to-month,143.35,Yes
1224,Male,0,Yes,Yes,1,Yes,No,Month-to-month,45.85,Yes
1225,Female,0,Yes,No,16,No,No phone service,Month-to-month,810.2,Yes
1226,Female,0,Yes,No,72,Yes,Yes,Two year,1830.05,No
1227,Male,0,No,No,30,Yes,Yes,One year,2820.65,No
1228,Female,0,Yes,No,49,Yes,Yes,Month-to-month,4847.35,No
1229,Male,0,Yes,No,61,Yes,Yes,Two year,4729.3,No
1230,Male,0,Yes,Yes,47,Yes,Yes,Month-to-month,4017.45,No
1231,Male,0,No,No,20,Yes,No,Month-to-month,1398.6,No
1232,Male,0,Yes,Yes,34,Yes,No,Month-to-month,2564.3,Yes
1233,Female,0,Yes,Yes,70,Yes,Yes,Two year,1685.9,No
1234,Male,0,No,Yes,54,Yes,No,One year,5826.65,No
1235,Male,1,Yes,No,61,Yes,Yes,One year,6066.55,No
1236,Male,0,No,No,3,Yes,Yes,Month-to-month,228.4,Yes
1237,Male,0,No,No,13,Yes,No,One year,270.2,No
1238,Female,1,No,No,16,Yes,Yes,Month-to-month,1529.2,Yes
1239,Female,0,Yes,Yes,3,Yes,No,Month-to-month,168.6,No
1240,Male,0,No,No,25,Yes,No,Month-to-month,536.35,No
1241,Male,0,No,No,30,Yes,Yes,Month-to-month,1888.45,No
1242,Female,0,Yes,No,21,No,No phone service,Month-to-month,629.35,No
1243,Male,0,No,No,1,Yes,No,Month-to-month,45.3,Yes
1244,Female,0,No,No,15,Yes,No,Month-to-month,289.3,Yes
1245,Male,1,Yes,No,23,Yes,No,Month-to-month,2117.25,No
1246,Female,0,Yes,Yes,45,Yes,Yes,Month-to-month,4730.9,No
1247,Female,0,Yes,Yes,24,Yes,Yes,One year,2033.05,No
1248,Female,0,No,No,11,Yes,Yes,Month-to-month,987.95,Yes
1249,Male,0,No,No,1,Yes,No,Month-to-month,45.05,Yes
1250,Female,0,Yes,No,56,Yes,Yes,Two year,5744.35,No
1251,Female,0,No,No,1,Yes,No,Month-to-month,75.8,Yes
1252,Male,0,No,No,1,Yes,No,Month-to-month,19.45,No
1253,Female,0,No,No,7,Yes,No,Month-to-month,523.15,Yes
1254,Female,1,Yes,No,55,Yes,No,Two year,4805.3,No
1255,Female,0,No,No,2,No,No phone service,Month-to-month,59.05,Yes
1256,Female,0,Yes,Yes,72,Yes,Yes,Two year,6110.75,No
1257,Female,1,No,No,45,No,No phone service,One year,1596.6,No
1258,Female,0,No,No,47,Yes,No,Two year,1046.2,No
1259,Female,1,No,No,46,Yes,No,One year,4424.2,Yes
1260,Male,0,No,No,2,Yes,No,Month-to-month,92.75,No
1261,Female,0,Yes,No,2,Yes,No,Month-to-month,194.55,No
1262,Female,0,Yes,No,12,Yes,No,Month-to-month,612.1,No
1263,Female,1,Yes,No,68,Yes,Yes,Month-to-month,6127.6,Yes
1264,Male,0,Yes,Yes,69,Yes,No,Two year,6671.7,No
1265,Male,1,No,Yes,56,Yes,No,One year,5264.3,No
1266,Female,1,No,No,4,Yes,Yes,Month-to-month,303.7,No
1267,Male,0,Yes,No,64,Yes,Yes,Two year,4818.8,No
1268,Male,0,Yes,No,59,Yes,Yes,One year,6448.05,Yes
1269,Male,0,Yes,Yes,62,Yes,Yes,Two year,7159.05,No
1270,Male,0,Yes,Yes,63,Yes,Yes,Two year,1574.5,No
1271,Female,0,No,No,53,No,No phone service,One year,2879.2,No
1272,Male,0,Yes,Yes,5,Yes,No,Month-to-month,86.05,No
1273,Male,1,Yes,No,49,Yes,Yes,Month-to-month,4159.45,No
1274,Female,0,Yes,Yes,62,Yes,Yes,Two year,6638.35,No
1275,Female,0,Yes,No,55,Yes,No,Two year,3112.05,No
1276,Female,1,Yes,No,71,Yes,No,Two year,7168.25,No
1277,Female,0,Yes,Yes,72,Yes,No,Two year,1326.25,No
1278,Male,0,Yes,Yes,36,No,No phone service,One year,2234.55,No
1279,Male,0,Yes,No,25,Yes,No,One year,495.15,No
1280,Female,1,Yes,No,72,Yes,Yes,Two year,8317.95,No
1281,Female,0,No,No,36,Yes,No,One year,679.8,No
1282,Male,0,No,No,1,Yes,No,Month-to-month,62.8,No
1283,Female,0,Yes,No,72,Yes,Yes,Two year,7544.0,No
1284,Male,0,Yes,Yes,59,Yes,No,Two year,1188.25,No
1285,Male,1,Yes,No,7,Yes,No,Month-to-month,676.7,Yes
1286,Female,0,No,No,1,Yes,No,One year,74.1,No
1287,Female,0,Yes,Yes,30,Yes,Yes,Month-to-month,3242.5,No
1288,Male,0,No,No,64,Yes,No,Two year,1240.15,No
1289,Male,0,No,No,63,Yes,Yes,One year,4111.35,No
1290,Male,1,Yes,No,72,Yes,Yes,Two year,5899.85,No
1291,Male,0,Yes,No,8,Yes,No,Month-to-month,632.95,Yes
1292,Female,0,No,No,62,Yes,Yes,Two year,5193.2,No
1293,Male,0,Yes,Yes,67,Yes,Yes,Two year,7530.8,No
1294,Male,0,No,No,6,Yes,No,Month-to-month,270.95,Yes
1295,Female,0,Yes,Yes,70,Yes,Yes,Two year,5460.2,No
1296,Female,1,No,No,20,Yes,No,Month-to-month,1614.2,No
1297,Female,0,No,No,5,Yes,Yes,Month-to-month,402.5,No
1298,Female,0,Yes,Yes,24,No,No phone service,One year,1367.75,No
1299,Female,0,Yes,No,11,Yes,No,Month-to-month,483.7,Yes
1300,Male,0,Yes,No,72,Yes,Yes,Two year,7962.2,No
1301,Female,0,Yes,Yes,66,Yes,No,Two year,3810.8,No
1302,Female,0,Yes,Yes,45,Yes,No,Two year,3533.6,No
1303,Female,0,Yes,Yes,69,Yes,No,Two year,1396.9,No
1304,Male,1,Yes,No,15,Yes,Yes,Month-to-month,1345.55,Yes
1305,Female,0,No,No,28,Yes,No,Month-to-month,1646.45,No
1306,Female,0,No,No,70,Yes,Yes,One year,8127.6,Yes
1307,Female,0,No,No,36,Yes,No,One year,2680.15,No
1308,Male,1,No,No,16,Yes,Yes,Month-to-month,1281.0,Yes
1309,Female,0,No,No,18,Yes,Yes,Month-to-month,1553.9,Yes
1310,Female,0,Yes,No,34,Yes,Yes,Month-to-month,3207.55,Yes
1311,Male,0,Yes,Yes,42,No,No phone service,One year,2049.05,No
1312,Male,0,No,No,48,Yes,Yes,One year,3629.2,No
1313,Male,0,Yes,No,47,Yes,Yes,Month-to-month,5124.55,Yes
1314,Female,0,Yes,Yes,39,Yes,Yes,One year,3474.45,Yes
1315,Female,0,Yes,Yes,11,Yes,No,Two year,202.3,No
1316,Male,0,No,No,7,Yes,No,Month-to-month,147.5,No
1317,Female,0,No,No,3,Yes,Yes,Month-to-month,86.35,No
1318,Male,0,No,No,8,Yes,No,Month-to-month,579.0,No
1319,Male,0,No,Yes,1,Yes,No,Month-to-month,19.45,Yes
1320,Male,0,Yes,Yes,32,Yes,No,One year,3131.55,No
1321,Male,0,Yes,Yes,60,Yes,No,One year,3928.3,No
1322,Female,0,Yes,No,10,Yes,No,Month-to-month,187.75,No
1323,Female,0,Yes,No,71,Yes,Yes,Two year,1710.15,No
1324,Female,0,Yes,Yes,4,Yes,No,Month-to-month,76.35,Yes
1325,Female,1,No,No,1,Yes,No,Month-to-month,69.25,Yes
1326,Female,0,Yes,Yes,43,No,No phone service,One year,2151.6,No
1327,Male,0,Yes,No,59,Yes,Yes,One year,5961.1,Yes
1328,Female,0,Yes,No,23,Yes,No,Month-to-month,1221.55,No
1329,Female,0,Yes,No,72,Yes,No,Two year,1496.45,No
1330,Male,0,Yes,No,22,Yes,No,One year,1292.2,No
1331,Female,0,No,No,1,No,No phone service,Month-to-month,25.15,No
1332,Male,0,No,No,69,Yes,Yes,Two year,1713.1,No
1333,Male,0,No,No,50,No,No phone service,One year,1748.9,No
1334,Female,1,No,No,1,No,No phone service,Month-to-month,25.2,Yes
1335,Male,0,No,No,2,Yes,No,Month-to-month,96.45,Yes
1336,Female,0,Yes,No,15,Yes,No,Month-to-month,1114.55,No
1337,Male,0,No,No,31,Yes,No,Two year,609.1,No
1338,Male,0,No,No,1,Yes,No,Month-to-month,20.15,Yes
1339,Male,0,Yes,No,66,Yes,Yes,Month-to-month,7133.25,Yes
1340,Female,0,Yes,Yes,0,No,No phone service,Two year,1397.475,No
1341,Male,0,No,Yes,3,Yes,No,Month-to-month,169.45,Yes
1342,Female,0,No,No,8,Yes,No,Two year,141.6,No
1343,Male,0,Yes,Yes,64,Yes,No,One year,4688.65,No
1344,Female,0,Yes,No,28,Yes,No,Month-to-month,563.05,No
1345,Female,0,Yes,No,57,Yes,Yes,One year,5985.0,No
1346,Female,0,Yes,Yes,14,Yes,Yes,Month-to-month,1258.6,Yes
1347,Male,0,No,No,19,Yes,No,Two year,373.5,No
1348,Male,0,Yes,No,10,Yes,No,Month-to-month,857.2,Yes
1349,Female,0,Yes,No,51,No,No phone service,Month-to-month,2553.35,No
1350,Female,0,Yes,No,67,Yes,Yes,Two year,4322.85,No
1351,Male,0,Yes,Yes,11,Yes,No,Month-to-month,250.8,No
1352,Male,0,Yes,Yes,72,No,No phone service,Two year,4549.05,No
1353,Male,0,Yes,Yes,66,Yes,No,One year,1359.5,No
1354,Female,0,No,No,18,Yes,Yes,Month-to-month,1639.3,Yes
1355,Female,0,No,No,9,Yes,No,Month-to-month,178.85,No
1356,Female,0,No,No,9,Yes,Yes,Month-to-month,633.85,No
1357,Male,0,Yes,No,48,Yes,Yes,Month-to-month,5315.1,No
1358,Male,0,No,No,10,Yes,No,Month-to-month,735.5,No
1359,Female,0,No,No,9,Yes,Yes,Month-to-month,889.9,Yes
1360,Female,1,No,No,13,Yes,Yes,Month-to-month,1290.0,Yes
1361,Male,0,No,No,4,Yes,Yes,Month-to-month,330.05,Yes
1362,Male,0,No,No,4,Yes,No,Month-to-month,237.95,Yes
1363,Female,0,Yes,No,72,Yes,Yes,Two year,6474.4,No
1364,Female,0,Yes,Yes,51,Yes,No,Two year,4421.95,No
1365,Male,0,Yes,No,59,No,No phone service,Month-to-month,2452.7,Yes
1366,Male,0,Yes,No,10,Yes,Yes,Month-to-month,813.85,Yes
1367,Male,1,Yes,No,61,Yes,Yes,Month-to-month,4904.85,No
1368,Male,0,No,No,54,Yes,No,One year,4484.05,No
1369,Female,0,No,No,33,Yes,Yes,Month-to-month,2033.85,No
1370,Female,0,No,No,27,Yes,No,Two year,538.2,No
1371,Female,1,No,No,1,Yes,No,Month-to-month,79.2,Yes
1372,Male,0,No,No,23,Yes,No,Month-to-month,2192.9,No
1373,Male,0,No,Yes,1,Yes,No,Month-to-month,19.85,No
1374,Male,0,Yes,Yes,45,Yes,No,Two year,3858.05,No
1375,Female,0,Yes,Yes,39,Yes,No,Two year,854.8,No
1376,Male,0,No,No,5,Yes,No,One year,347.4,Yes
1377,Male,0,Yes,Yes,72,Yes,Yes,Two year,5815.15,No
1378,Female,0,Yes,Yes,58,Yes,Yes,Month-to-month,3970.4,No
1379,Female,0,No,No,70,No,No phone service,Two year,3058.15,No
1380,Male,0,Yes,Yes,61,Yes,No,One year,6145.2,No
1381,Male,0,No,No,2,Yes,No,Month-to-month,129.2,No
1382,Female,0,Yes,Yes,46,Yes,Yes,One year,1165.9,No
1383,Female,0,No,No,1,Yes,Yes,Month-to-month,49.95,Yes
1384,Female,0,Yes,No,22,Yes,No,Month-to-month,1554.0,Yes
1385,Female,0,No,No,48,Yes,No,Two year,4904.25,No
1386,Male,0,No,No,64,Yes,Yes,Two year,5632.55,No
1387,Male,0,Yes,Yes,72,Yes,Yes,Two year,1643.25,No
1388,Female,0,Yes,Yes,12,Yes,No,Month-to-month,740.55,No
1389,Female,1,Yes,No,34,Yes,Yes,Month-to-month,3217.55,Yes
1390,Female,0,Yes,Yes,72,Yes,No,Two year,4888.2,No
1391,Male,0,Yes,No,29,Yes,Yes,Month-to-month,2440.25,No
1392,Male,0,Yes,Yes,33,Yes,No,One year,620.55,No
1393,Female,0,No,No,1,Yes,No,Month-to-month,20.35,No
1394,Female,0,Yes,Yes,62,Yes,Yes,One year,6840.95,No
1395,Male,0,Yes,No,41,Yes,Yes,One year,3001.2,Yes
1396,Female,0,No,No,64,Yes,Yes,One year,6254.2,Yes
1397,Female,0,No,No,4,Yes,No,Month-to-month,319.6,No
1398,Female,0,No,No,24,Yes,Yes,Month-to-month,1938.05,No
1399,Female,0,Yes,Yes,14,Yes,No,One year,294.5,No
1400,Male,0,No,Yes,3,Yes,No,Month-to-month,58.3,No
1401,Female,1,No,No,4,Yes,No,Month-to-month,442.85,Yes
1402,Female,0,No,Yes,18,No,No phone service,Month-to-month,553.0,Yes
1403,Male,0,No,No,8,Yes,No,Month-to-month,546.45,No
1404,Female,0,No,No,35,Yes,Yes,Two year,797.1,No
1405,Female,0,No,No,1,Yes,Yes,Month-to-month,76.0,Yes
1406,Male,0,No,Yes,66,Yes,Yes,Two year,1673.8,No
1407,Male,0,No,Yes,8,No,No phone service,Two year,343.45,No
1408,Female,0,Yes,No,71,Yes,Yes,One year,7412.25,No
1409,Female,0,Yes,Yes,43,Yes,Yes,Month-to-month,4039.0,No
1410,Female,1,No,No,2,Yes,Yes,Month-to-month,170.85,Yes
1411,Male,1,No,No,29,Yes,No,Month-to-month,2948.6,No
1412,Female,0,Yes,No,15,Yes,No,Month-to-month,1308.4,Yes
1413,Male,0,Yes,Yes,65,Yes,Yes,Two year,6078.75,No
1414,Male,0,No,No,35,Yes,Yes,Month-to-month,3418.2,No
1415,Male,0,No,No,64,Yes,No,One year,6603.8,No
1416,Female,0,Yes,Yes,58,No,No phone service,Two year,3166.9,No
1417,Female,1,No,No,18,Yes,No,Month-to-month,865.75,No
1418,Male,0,Yes,Yes,67,Yes,Yes,Month-to-month,6373.1,No
1419,Male,0,Yes,Yes,63,Yes,No,Two year,1177.05,No
1420,Female,0,Yes,No,60,Yes,Yes,Month-to-month,5985.75,No
1421,Male,1,No,No,9,Yes,Yes,Month-to-month,732.5,Yes
1422,Female,0,Yes,Yes,70,Yes,Yes,Two year,7869.05,No
1423,Male,0,Yes,No,15,Yes,Yes,Month-to-month,1504.05,Yes
1424,Female,0,No,Yes,48,Yes,No,One year,936.7,No
1425,Male,0,Yes,No,12,Yes,No,Month-to-month,741.4,No
1426,Male,1,Yes,No,71,Yes,Yes,One year,6585.2,No
1427,Male,1,No,No,44,Yes,No,Month-to-month,3122.4,No
1428,Male,0,No,No,1,Yes,Yes,Month-to-month,50.45,Yes
1429,Male,0,Yes,Yes,45,Yes,Yes,Two year,1088.25,No
1430,Female,0,No,No,23,Yes,Yes,One year,615.35,No
1431,Female,0,Yes,No,43,Yes,Yes,One year,2908.2,No
1432,Male,0,No,No,35,Yes,No,Month-to-month,739.9,No
1433,Male,0,Yes,No,9,Yes,No,Month-to-month,593.85,No
1434,Male,0,No,No,12,Yes,Yes,Month-to-month,1132.75,Yes
1435,Female,1,Yes,No,65,Yes,Yes,Month-to-month,7227.45,No
1436,Female,0,No,No,2,Yes,Yes,Month-to-month,193.6,Yes
1437,Male,0,No,No,27,Yes,Yes,Month-to-month,1291.35,No
1438,Female,0,No,No,40,Yes,No,One year,2023.55,No
1439,Female,1,No,No,5,Yes,No,Month-to-month,349.65,Yes
1440,Male,0,Yes,Yes,8,Yes,No,One year,153.95,No
1441,Female,1,Yes,No,58,Yes,Yes,One year,5458.8,No
1442,Female,0,Yes,Yes,52,Yes,No,One year,5244.45,No
1443,Male,0,Yes,No,3,Yes,No,Month-to-month,154.55,No
1444,Male,0,No,Yes,41,Yes,No,Two year,4507.15,No
1445,Male,0,No,No,20,Yes,Yes,Month-to-month,2031.95,No
1446,Male,0,No,Yes,1,Yes,Yes,Month-to-month,50.05,No
1447,Male,0,No,Yes,4,Yes,Yes,Month-to-month,332.45,Yes
1448,Male,0,No,No,23,Yes,No,Month-to-month,473.9,No
1449,Female,1,No,No,6,Yes,No,Month-to-month,106.8,No
1450,Male,0,Yes,Yes,8,Yes,No,Month-to-month,152.6,No
1451,Male,0,No,No,18,Yes,Yes,Month-to-month,1199.4,No
1452,Male,1,No,No,52,No,No phone service,Month-to-month,2555.05,No
1453,Male,0,No,No,31,Yes,No,Month-to-month,2979.2,No
1454,Male,0,Yes,Yes,29,Yes,No,Month-to-month,654.85,No
1455,Female,0,Yes,No,36,Yes,Yes,Two year,3834.4,No
1456,Female,0,Yes,No,16,Yes,Yes,Month-to-month,1534.75,Yes
1457,Male,0,Yes,No,42,Yes,Yes,One year,4586.15,No
1458,Male,0,No,No,1,Yes,No,Month-to-month,20.55,Yes
1459,Female,0,No,No,60,Yes,No,Two year,5941.05,No
1460,Male,0,No,No,5,Yes,Yes,Month-to-month,424.15,Yes
1461,Male,0,Yes,No,22,Yes,Yes,Month-to-month,2234.95,No
1462,Male,0,Yes,No,36,Yes,No,One year,666.75,No
1463,Female,0,No,No,4,Yes,No,Month-to-month,281.0,Yes
1464,Male,0,No,No,9,Yes,No,Month-to-month,547.8,No
1465,Male,0,Yes,Yes,1,Yes,No,Month-to-month,74.6,No
1466,Male,0,Yes,Yes,12,Yes,No,Month-to-month,571.15,No
1467,Female,0,No,No,23,Yes,Yes,One year,1756.6,No
1468,Male,0,No,No,62,Yes,Yes,One year,5731.45,No
1469,Male,0,No,No,37,Yes,Yes,Month-to-month,3475.55,Yes
1470,Female,0,No,No,8,Yes,No,Month-to-month,156.85,No
1471,Male,0,Yes,No,31,Yes,Yes,Month-to-month,2683.2,No
1472,Male,0,Yes,Yes,13,Yes,Yes,Month-to-month,896.75,Yes
1473,Female,0,No,No,24,Yes,Yes,Month-to-month,2407.3,Yes
1474,Male,0,Yes,Yes,45,Yes,Yes,Month-to-month,4456.65,No
1475,Female,1,Yes,No,69,Yes,Yes,Two year,6998.95,No
1476,Male,0,No,No,2,Yes,No,Month-to-month,36.8,No
1477,Male,0,Yes,Yes,61,Yes,Yes,One year,6547.7,Yes
1478,Male,0,No,No,41,Yes,Yes,Month-to-month,4346.4,Yes
1479,Female,0,No,No,44,No,No phone service,One year,2265.0,No
1480,Male,0,No,No,39,No,No phone service,One year,1309.15,No
1481,Male,0,Yes,Yes,72,No,No phone service,Two year,4754.3,No
1482,Female,1,No,No,13,Yes,No,Month-to-month,1235.55,No
1483,Female,0,Yes,Yes,51,Yes,No,One year,3562.5,No
1484,Female,1,Yes,No,71,Yes,No,Two year,7213.75,No
1485,Male,1,No,No,22,Yes,Yes,Month-to-month,2082.95,Yes
1486,Female,0,No,No,2,Yes,No,Month-to-month,102.75,Yes
1487,Female,0,No,No,56,Yes,Yes,One year,5914.4,No
1488,Male,0,No,No,1,Yes,No,Month-to-month,51.25,No
1489,Female,0,Yes,Yes,23,Yes,No,One year,1282.85,No
1490,Female,1,Yes,No,66,Yes,Yes,One year,4738.85,No
1491,Female,0,No,No,1,Yes,No,Month-to-month,19.55,No
1492,Male,1,No,No,19,Yes,Yes,Month-to-month,1775.8,Yes
1493,Male,0,No,No,11,Yes,No,Month-to-month,795.65,No
1494,Female,0,Yes,Yes,8,Yes,No,One year,145.0,Yes
1495,Female,0,Yes,Yes,52,Yes,Yes,Month-to-month,4993.4,No
1496,Male,0,No,No,3,Yes,No,Month-to-month,61.45,No
1497,Female,0,Yes,Yes,51,Yes,No,Month-to-month,4018.55,No
1498,Male,1,No,No,15,Yes,Yes,Month-to-month,1146.65,Yes
1499,Male,1,Yes,No,64,Yes,Yes,Month-to-month,6081.4,No
1500,Female,0,No,No,37,No,No phone service,Month-to-month,1478.85,No
1501,Male,0,No,No,13,Yes,No,Two year,243.65,No
1502,Male,0,Yes,No,49,Yes,Yes,One year,2633.95,No
1503,Female,1,No,No,45,Yes,Yes,One year,4735.35,No
1504,Female,0,No,No,18,Yes,No,Month-to-month,1247.75,No
1505,Male,1,No,No,1,Yes,Yes,Month-to-month,74.7,Yes
1506,Male,0,Yes,No,68,No,No phone service,Two year,3794.5,No
1507,Male,0,No,No,54,Yes,No,Two year,1008.7,No
1508,Female,1,Yes,Yes,23,Yes,No,Month-to-month,2130.55,No
1509,Male,0,No,No,17,Yes,No,Month-to-month,1313.55,Yes
1510,Male,0,Yes,No,71,Yes,Yes,Two year,5727.15,No
1511,Female,0,Yes,Yes,67,Yes,No,Two year,1372.9,No
1512,Female,0,Yes,Yes,14,Yes,Yes,Month-to-month,1203.9,No
1513,Female,1,No,No,1,No,No phone service,Month-to-month,25.8,Yes
1514,Female,0,No,Yes,63,Yes,No,Two year,1215.1,No
1515,Female,0,No,No,41,Yes,Yes,One year,2877.05,No
1516,Female,0,Yes,No,17,Yes,Yes,Month-to-month,1579.7,No
1517,Male,0,Yes,No,56,Yes,Yes,One year,5514.95,No
1518,Female,0,No,No,5,Yes,No,Month-to-month,96.1,No
1519,Female,0,No,No,2,No,No phone service,Month-to-month,72.4,Yes
1520,Female,0,Yes,No,3,Yes,No,Month-to-month,55.25,No
1521,Male,0,No,No,37,Yes,Yes,One year,2443.3,No
1522,Female,0,No,No,29,Yes,No,Month-to-month,1970.5,Yes
1523,Male,0,No,No,8,Yes,No,Month-to-month,335.4,No
1524,Female,0,No,No,63,Yes,Yes,Month-to-month,7002.95,No
1525,Female,0,Yes,Yes,7,Yes,No,Month-to-month,158.95,No
1526,Female,0,No,No,3,Yes,No,Month-to-month,293.15,No
1527,Male,0,Yes,Yes,72,Yes,No,Two year,1493.75,No
1528,Female,0,No,No,19,Yes,No,Month-to-month,1093.4,No
1529,Female,0,Yes,No,59,Yes,No,Two year,1057.85,No
1530,Male,0,Yes,Yes,2,Yes,No,Month-to-month,190.05,Yes
1531,Female,0,Yes,Yes,35,Yes,Yes,Month-to-month,882.55,No
1532,Male,0,No,No,14,Yes,No,Month-to-month,300.4,No
1533,Female,0,No,No,14,Yes,No,Month-to-month,1025.95,Yes
1534,Female,0,Yes,Yes,69,Yes,No,Two year,1436.95,No
1535,Male,1,Yes,No,7,Yes,Yes,Month-to-month,475.0,No
1536,Male,0,Yes,Yes,69,Yes,No,Two year,5388.15,No
1537,Female,0,Yes,Yes,72,Yes,Yes,Two year,5730.15,No
1538,Male,0,No,No,8,Yes,Yes,Month-to-month,819.55,Yes
1539,Female,0,Yes,Yes,4,Yes,No,Month-to-month,217.1,No
1540,Male,0,Yes,Yes,63,Yes,No,Month-to-month,4896.35,No
1541,Male,0,No,No,72,Yes,No,Two year,1434.1,No
1542,Female,0,No,No,46,Yes,No,Two year,937.1,No
1543,Female,0,Yes,No,5,Yes,No,Month-to-month,330.15,Yes
1544,Male,0,Yes,No,30,Yes,No,Month-to-month,1474.9,No
1545,Male,0,No,No,63,Yes,Yes,Two year,6536.5,No
1546,Female,0,No,No,60,Yes,No,Two year,1128.1,No
1547,Female,0,Yes,No,63,Yes,Yes,One year,6873.75,Yes
1548,Male,0,Yes,Yes,25,Yes,No,Month-to-month,2199.05,No
1549,Male,0,No,No,1,Yes,No,Month-to-month,45.85,Yes
1550,Male,1,Yes,No,6,Yes,Yes,Month-to-month,457.1,No
1551,Male,0,No,No,22,Yes,Yes,Two year,566.5,No
1552,Female,0,Yes,Yes,31,Yes,Yes,Two year,2471.6,No
1553,Female,0,Yes,Yes,39,Yes,No,Month-to-month,3107.3,No
1554,Male,0,No,No,26,Yes,No,Month-to-month,518.3,No
1555,Female,0,Yes,No,53,Yes,No,One year,5769.75,Yes
1556,Female,0,No,No,1,Yes,No,Month-to-month,91.7,Yes
1557,Male,0,No,No,12,Yes,Yes,Month-to-month,832.3,No
1558,Female,0,No,No,16,Yes,Yes,Month-to-month,1555.65,Yes
1559,Female,0,No,No,2,Yes,No,Month-to-month,45.3,No
1560,Male,0,No,Yes,39,No,No phone service,One year,1790.6,No
1561,Male,0,No,No,1,Yes,Yes,Month-to-month,74.95,Yes
1562,Female,0,Yes,Yes,7,No,No phone service,Month-to-month,246.6,No
1563,Male,1,No,No,4,Yes,No,Month-to-month,261.65,No
1564,Male,1,No,No,10,Yes,Yes,Month-to-month,898.35,Yes
1565,Female,0,No,No,55,Yes,No,Month-to-month,4509.5,No
1566,Male,0,Yes,Yes,72,Yes,No,Two year,5480.25,No
1567,Female,0,Yes,No,10,Yes,No,Month-to-month,653.15,No
1568,Male,1,No,No,11,Yes,Yes,Month-to-month,1183.05,No
1569,Female,0,Yes,Yes,15,Yes,No,Month-to-month,639.45,No
1570,Female,0,Yes,Yes,23,Yes,No,Two year,478.75,No
1571,Male,0,No,Yes,1,Yes,No,Month-to-month,20.05,No
1572,Female,1,No,No,3,Yes,No,Month-to-month,127.1,Yes
1573,Male,0,Yes,Yes,47,Yes,No,One year,4391.45,No
1574,Female,0,No,Yes,15,Yes,No,One year,270.6,No
1575,Male,0,No,No,66,Yes,No,Month-to-month,6710.5,Yes
1576,Female,1,Yes,No,68,Yes,No,One year,3975.9,No
1577,Female,0,Yes,Yes,17,Yes,No,One year,1704.95,Yes
1578,Female,0,No,No,7,Yes,No,Month-to-month,415.95,Yes
1579,Male,1,Yes,No,12,Yes,No,Month-to-month,950.2,Yes
1580,Female,1,Yes,No,21,Yes,Yes,One year,1497.05,No
1581,Male,0,No,No,21,No,No phone service,Month-to-month,780.15,No
